night_market_id,city,night_market,longitude,latitude,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,status
172,彰化縣,員林大圓林觀光夜市,135.7658791,34.9948753,,,1700–0000,,,,1700–0000,
173,彰化縣,員林林厝夜市,,,,,1700–2300,,,,1700–2300,
174,彰化縣,花壇夜市,120.5426629,24.0281506,,,1700–2300,,,,,
175,彰化縣,北斗觀光夜市,,,,,,,,1700–0000,,
176,彰化縣,溪州夜市,,,1700–2230,,,,,,,
177,彰化縣,芳苑草湖夜市,,,1700–2200,,,,,,,
178,彰化縣,田中夜市,130.3974023,33.5392017,1700–2300,,,1700–2300,,,,
179,彰化縣,田中高鐵夜市,120.5710877,23.87496884,,,,,1700–2300,,,
180,彰化縣,二水夜市,,,,,1700–2200,,,,,
181,彰化縣,田尾夜市,135.1862805,34.6938981,,,1700–2300,,,,1700–2300,
182,彰化縣,二林王子夜市,,,,,1700–2300,,,1700–2300,,
183,彰化縣,二林金仔角觀光夜市,,,,,1700–2300,,,,,
184,彰化縣,埔鹽夜市,,,,1700–2300,,,1700–2300,,,
185,彰化縣,埔鹽新水夜市,,,,,,,,1800–2230,,
186,彰化縣,埔鹽天盛夜市,,,,,1700–2300,,,,,
187,彰化縣,溪湖夜市,120.8401672,29.1420415,,1700–0000,,1700–0000,,1700–0000,1700–0000,
188,彰化縣,埤頭夜市,,,,,,1700–2300,,1700–2300,,
189,彰化縣,溪湖忠溪夜市,129.8753701,32.7416707,,1700–2300,,,,1700–2300,,
190,彰化縣,溪湖大公路夜市,,,,,1700–2300,,,,,
191,彰化縣,社頭芭樂市場夜市,,,,1700–2330,,,,1700–2330,,
192,彰化縣,田中鐵支路觀光夜市,,,1700–2300,,,,1700–2300,,,
193,彰化縣,田尾海豐崙夜市,,,,,,,,1700–0000,1700–0000,
194,彰化縣,埤頭星期四六夜市,,,,,,1800–2300,,1800–2300,,
195,彰化縣,芳苑王功夜市,135.6692888,35.0230217,,,1800–2200,,,,,
196,彰化縣,竹塘夜市,135.752032,35.034969,,,,1700–0000,,,,
197,彰化縣,大城夜市,108.3796113,21.7833332,,,,,,,1600–2100,
198,彰化縣,埤頭星期三夜市,,,,,1600–2300,,,,,
199,南投縣,草鞋墩人文觀光夜市,120.6870563,23.9884037,,1730–2300,,,1730–2300,1730–2300,1730–2300,
200,南投縣,南投市家樂福夜市,,,,,1730–2230,,,,,
201,南投縣,南崗夜市,117.2061732,36.6575628,,,,1700–0000,,,,
202,南投縣,南投祖祠路夜市,,,,,,,,,1700–2300,
203,南投縣,埔里城觀光夜市,,,,,,,1730–0000,1730–0000,1730–0000,
204,南投縣,國姓夜市,118.3879959,28.5721311,,,,,,,1700–2130,
205,南投縣,名間夜市,135.6782716,35.0183507,,,,,,1700–2200,,
206,南投縣,埔里樹人夜市,120.9742704,23.95982828,,,1800–0000,,,,,
207,南投縣,中興新村內轆夜市,135.7520663,35.0249488,,,,,,1730–2200,,
208,南投縣,松柏嶺夜市,120.6327431,23.83524923,,,,,1700–2200,,,
209,南投縣,鹿谷夜市,117.2975002,36.6833229,,,1730–2200,,1730–2200,,,
210,南投縣,竹山夜市,135.6817625,35.0184912,,,,1630–0000,,,,
211,南投縣,集集夜市,117.3253053,36.7059082,,1730–0000,,,,1730–0000,,
212,南投縣,水里夜市,,,,,,1630–2200,,,1630–2200,
213,南投縣,魚池夜市,135.759932,35.011004,,1700–2200,,,,,,
214,南投縣,中寮夜市,114.7434255,22.6788405,,1700–2300,,,,,,
215,雲林縣,斗六觀光夜市,120.5439553,23.6963399,,1700–0000,,,,1700–0000,1700–0000,
216,雲林縣,斗六成功夜市,,,,,1700–0000,,,1700–0000,,
217,雲林縣,斗六石榴班夜市,,,,,,1700–0000,,,,
218,雲林縣,大崙夜市,,,1700–2130。,1700–2130。,1700–2130。,1700–2130。,1700–2130。,1700–2130。,1700–2130。,
219,雲林縣,虎尾夜市,120.4285761,23.7155668,,,1700–0100,,1700–0100,,,
220,雲林縣,土庫夜市,120.3941072,23.67753356,1700–2200,,,,,,,
221,雲林縣,馬光夜市,,,,,1700–2230,,,,,
222,雲林縣,同仁夜市,120.293817,23.575529,,,0500–1130,,,0500–1130,,
223,雲林縣,東南夜市,136.875765,35.31071,,,,,,,1700–2330,
224,雲林縣,吳厝夜市,,,,,,1630–2130,,,,
225,雲林縣,斗南夜市,120.468793,23.677861,,,,,,1700–0000,,
226,雲林縣,石龜夜市,117.2066955,31.7528528,,1800–2300,,,,,,
227,雲林縣,林內夜市,134.1520832,35.0012097,,1700–2230,,,,,,
228,雲林縣,古坑夜市,,,,,1630–2130,,,,,
229,雲林縣,大埤夜市,120.4345503,23.64256079,,1630–2030,,,,,,
230,雲林縣,莿桐夜市,135.7575588,35.0034069,,,,,1700–2300,,,
231,雲林縣,崙背夜市,,,,1701–2301,,,1701–2301,,,
232,雲林縣,二崙夜市,,,,,1700–2230,,,1700–2230,,
233,雲林縣,麥寮泰安宮夜市,,,1700–2300,,,,,1700–2300,,
234,雲林縣,麥寮鎮南宮夜市,,,,,,1700–0000,,,,
235,雲林縣,褒忠夜市,132.764782,35.369493,,,,1700–2300,,,,
236,雲林縣,下崙夜市,,,,,1700–2300,,,,,
237,雲林縣,台西夜市,120.4769371,23.6934202,,,,,,1700–2050,,
238,雲林縣,崙豐夜市,,,,,,,,,1640–2200,
239,雲林縣,東勢夜市,139.1807106,35.7101972,,1700–2300,,,1700–2300,,,
240,雲林縣,四湖夜市,,,1700–2300,,,,,1700–2300,,
241,雲林縣,元長夜市,135.1493413,34.6538947,,1700–2300,,,,,,
242,雲林縣,同仁夜市,120.293817,23.575529,,,1700–2330,,,1700–2330,,
243,嘉義市,文化路夜市,136.314941,36.302802,,,,,,,1530–2330,
244,嘉義市,嘉樂福觀光夜市,120.43119,23.47165,,,,1800–0000,1800–0000,1800–0000,1800–0000,
245,嘉義市,彌陀夜市,120.4661585,23.46481265,,,1700–2300,,1700–2300,,,
246,嘉義市,湖美夜市,135.197347,34.6865286,,1700–0200,1700–0200,,1700–0200,1700–0200,,
247,嘉義縣,新塭夜市,119.1855042,36.6974143,,,,,,1730–2130,,
